News Name,Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,News Name Suffix
www.nydailynews.com,201,201,201,201,201,201,175,175,112,89,201,201,201,201,201,201,201,201,201,201,201,173,173,173,78,173,173,173,201,199,199,199,61,199,199,199,201,201,201,201,201,201
beincrypto.com,194,194,194,194,194,194,182,182,125,87,194,194,194,194,194,194,194,194,194,194,194,179,179,179,54,179,179,179,194,191,191,191,53,191,191,191,194,194,194,194,194,194
www.hindustantimes.com,191,191,191,191,191,191,172,172,76,99,191,191,191,191,191,191,191,191,191,191,191,158,158,158,120,158,158,158,191,176,176,176,130,176,176,176,191,191,191,191,191,191
in.reuters.com,189,189,189,189,189,189,177,177,113,86,189,189,189,189,189,189,189,189,189,189,189,176,176,176,75,176,176,176,189,188,188,188,79,188,188,188,189,189,189,189,189,189
www.rt.com,188,188,188,188,188,188,181,181,113,96,188,188,188,188,188,188,188,188,188,188,188,181,181,181,55,181,181,181,188,188,188,188,57,188,188,188,188,188,188,188,188,188
www.bloombergquint.com,185,185,185,185,185,185,171,171,104,96,185,185,185,185,185,185,185,185,185,185,185,171,171,171,79,171,171,171,185,185,185,185,79,185,185,185,185,185,185,185,185,185
www.dnaindia.com,184,184,184,184,184,184,147,147,75,94,184,184,184,184,184,184,184,184,184,184,184,137,137,137,95,137,137,137,184,171,171,171,126,171,171,171,184,184,184,184,184,184
www.banklesstimes.com,180,180,180,180,180,180,160,160,95,80,180,180,180,180,180,180,180,180,180,180,180,155,155,155,39,155,155,155,180,174,174,174,39,174,174,174,180,180,180,180,180,180
www.prnewswire.com,179,179,179,179,179,179,166,166,92,91,179,179,179,179,179,179,179,179,179,179,179,160,160,160,59,160,160,160,179,173,173,173,59,173,173,173,179,179,179,179,179,179
asia.nikkei.com,178,178,178,178,178,178,161,161,113,73,178,178,178,178,178,178,178,178,178,178,178,161,161,161,108,161,161,161,178,178,178,178,117,178,178,178,178,178,178,178,178,178
naija247news.com,176,176,176,176,176,176,159,159,91,85,176,176,176,176,176,176,176,176,176,176,176,155,155,155,81,155,155,155,176,172,172,172,91,172,172,172,176,176,176,176,176,176
es.cointelegraph.com,175,175,175,175,175,175,155,155,65,108,175,175,175,175,175,175,175,175,175,175,175,150,150,150,45,150,150,150,175,169,169,169,47,169,169,169,175,175,175,175,175,175
www.etftrends.com,172,172,172,172,172,172,153,153,95,86,172,172,172,172,172,172,172,172,172,172,172,138,138,138,38,138,138,138,172,156,156,156,44,156,156,156,172,172,172,172,172,172
cryptoslate.com,171,171,171,171,171,171,150,150,103,66,171,171,171,171,171,171,171,171,171,171,171,147,147,147,54,147,147,147,171,167,167,167,53,167,167,167,171,171,171,171,171,171
bitcoinprbuzz.com,170,170,170,170,170,170,139,139,82,61,170,170,170,170,170,170,170,170,170,170,170,139,139,139,80,139,139,139,170,170,170,170,97,170,170,170,170,170,170,170,170,170
